original,Date,Open,High,Low,Close,Adj Close,Volume
20200319,2020-03-19,33.95,34.2,32.75,33.4,32.8449,906470
20200320,2020-03-20,33.6,34.05,32.9,33.1,32.5499,771320
20200323,2020-03-23,31,31.9,30.8,30.8,30.2881,2728710
20200324,2020-03-24,31,31.95,30.7,31.6,31.0748,1227020
20200325,2020-03-25,33.4,33.45,32.8,33.2,32.6482,1611980
20200326,2020-03-26,33,34.2,32.15,33.3,32.7466,1148580
20200327,2020-03-27,33.1,33.75,32.4,33,32.4516,1128210
20200330,2020-03-30,31,31.9,30.7,30.9,30.3865,1369430
20200331,2020-03-31,32,32.15,29.5,30.85,30.3373,1018770
20200401,2020-04-01,30.9,33,30.8,32.1,31.5665,1190960
20200403,2020-04-03,32.6,34.3,32.6,34.3,33.73,1547020
20200406,2020-04-06,35.7,36.7,35.1,36.7,36.0901,1881640
20200407,2020-04-07,37.5,37.7,36,37,36.3851,1793050
20200408,2020-04-08,35.8,38,35.1,37.95,37.3193,1456160
20200409,2020-04-09,37.95,38.6,37.65,37.7,37.0735,1349000
20200410,2020-04-10,37.3,37.8,36.7,36.9,36.2868,1198580
20200413,2020-04-13,36.7,37.7,36.6,37.15,36.5326,1056950
20200414,2020-04-14,37.05,37.55,35.8,36.5,35.8934,1220360
20200415,2020-04-15,36.7,37.7,36.7,37.3,36.6801,1107070
20200416,2020-04-16,37.2,37.3,36.75,37.3,36.6801,1210270
20200417,2020-04-17,37.85,38.2,37.2,37.4,36.7784,1151710
20200420,2020-04-20,37.9,38,36.95,37.1,36.4834,1371830
20200421,2020-04-21,36,36.8,34.7,34.7,34.1233,2238980
20200422,2020-04-22,33.1,37.05,33.1,36.2,35.5984,1413800
20200423,2020-04-23,37,37.2,36.1,36.2,35.5984,789930
20200424,2020-04-24,36,36.45,35.3,36,35.4017,592910
20200427,2020-04-27,36.2,36.4,35.1,35.1,34.5167,1205680
20200428,2020-04-28,35.1,35.8,34.5,35.15,34.5658,589490
20200429,2020-04-29,35.6,35.9,35,35.6,35.0084,595490
20200504,2020-05-04,35.6,36.4,35.1,35.3,34.7133,655630
20200505,2020-05-05,35.3,35.8,35.2,35.3,34.7133,427650
20200506,2020-05-06,35.45,36,35.3,36,35.4017,739320
20200507,2020-05-07,36.3,37.6,36.3,37.55,36.926,2524450
20200508,2020-05-08,37.95,39.3,37.55,38,37.3685,2563570
